name,description,url,learning_resource_type,language,thumbnail_url,typical_age_range,text_complexity,author,publisher,use_rights_url,time_required,technical_format,extensions,rating,relevance,lti_link,educational_audience,accessibility_api,accessibility_input_methods,accessibility_features,accessibility_hazards,access_mode,taxonomies,subjects
AP / AB Calculus Test - Sample Questions 13 & 14,,https://www.youtube.com/embed/O9V2Bvysvs0,Media/Video,en,https://images-staging.opened.com/pictures/1890960/image20170920-4-1ckjl84.jpg?1505872718,0-12,"{""flesch-kincaid"":null,""lexile"":null}","",patrickJMT,,278.0,,{},3.0,0.0,"{""title"":""https://www.opened.io/resources/1890960"",""launch_url"":""https://www.opened.io/resources/1890960"",""description"":"""",""extension"":"""",""secure_launch_url"":"""",""icon"":"""",""secure_icon"":"""",""vendor"":{""code"":""NULL"",""name"":""OpenEd""},""cartridge_icon"":{""name"":""NULL"",""resourceUri"":""NULL""},""cartridge_bundle"":{""name"":""NULL"",""resourceUri"":""NULL""}}",[],[],"[""fullMouseControl""]",[],[],"[""auditory"",""color"",""textOnImage"",""visual""]","[""TEKS.Math.6.MD.13"",""TEKS.Math.7.PFL.13"",""TEKS.Math.6.PFL.14"",""TEKS.ELA.K.WP.13"",""TEKS.ELA.1.CIT.13"",""TEKS.ELA.2.CIT.13"",""TEKS.ELA.3.CIT.13"",""TEKS.ELA.4.CIT.13"",""TEKS.ELA.5.CIT.13"",""TEKS.ELA.K.WL.14"",""TEKS.ELA.1.CIT.14"",""TEKS.ELA.2.CIT.14"",""TEKS.ELA.3.CIT.14"",""TEKS.ELA.4.RM.14"",""TEKS.ELA.5.RM.14"",""TEKS.ELA.6.RM.13"",""TEKS.ELA.7.RM.13"",""TEKS.ELA.8.RM.13"",""TEKS.ELA.6-8.WP.14"",""TEKS.ELA.6.WP.14"",""TEKS.ELA.7-8.WP.14"",""TEKS.ELA.E1.WP.13"",""TEKS.ELA.E1.WLT.14"",""TEKS.ELA.E2.WP.13"",""TEKS.ELA.E2.WL.14"",""TEKS.ELA.E3.WP.13"",""TEKS.ELA.E3.WL.14"",""TEKS.ELA.E4.WP.13"",""TEKS.ELA.E4.WL.14""]",[]
AP / AB Calculus Test - Sample Questions 11 & 12,,https://www.youtube.com/embed/4jzpKdQBthI,Media/Video,en,https://images-staging.opened.com/pictures/1890961/image20170920-4-pju3vv.jpg?1505872748,0-12,"{""flesch-kincaid"":null,""lexile"":null}","",patrickJMT,,321.0,,{},3.0,0.0,"{""title"":""https://www.opened.io/resources/1890961"",""launch_url"":""https://www.opened.io/resources/1890961"",""description"":"""",""extension"":"""",""secure_launch_url"":"""",""icon"":"""",""secure_icon"":"""",""vendor"":{""code"":""NULL"",""name"":""OpenEd""},""cartridge_icon"":{""name"":""NULL"",""resourceUri"":""NULL""},""cartridge_bundle"":{""name"":""NULL"",""resourceUri"":""NULL""}}",[],[],"[""fullMouseControl""]",[],[],"[""auditory"",""color"",""textOnImage"",""visual""]","[""TEKS.Math.2.PFL.11"",""TEKS.Math.6.MD.11"",""TEKS.Math.7.EER.11"",""TEKS.Math.8.MD.11"",""TEKS.Math.6.MD.12"",""TEKS.Math.7.MD.12"",""TEKS.Math.8.PFL.12"",""TEKS.ELA.K.CIT.11"",""TEKS.ELA.1.CL.11"",""TEKS.ELA.2.CL.11"",""TEKS.ELA.3.IR.11"",""TEKS.ELA.4.CIT.11"",""TEKS.ELA.5.CIT.11"",""TEKS.ELA.K.RM.12"",""TEKS.ELA.1.IR.12"",""TEKS.ELA.2.IR.12"",""TEKS.ELA.3.CIT.12"",""TEKS.ELA.4.CIT.12"",""TEKS.ELA.5.CIT.12"",""TEKS.ELA.6.CIT.11"",""TEKS.ELA.7.CIT.11"",""TEKS.ELA.8.CIT.11"",""TEKS.ELA.6.CIT.12"",""TEKS.ELA.7.CIT.12"",""TEKS.ELA.8.CIT.12"",""TEKS.ELA.E1.CIT.11"",""TEKS.ELA.E1.RM.12"",""TEKS.ELA.E2.CIT.11"",""TEKS.ELA.E2.RM.12"",""TEKS.ELA.E3.CIT.11"",""TEKS.ELA.E3.RM.12"",""TEKS.ELA.E4.CIT.11"",""TEKS.ELA.E4.RM.12""]",[]
AP / AB Calculus Test - Sample Questions 9 & 10,,https://www.youtube.com/embed/HS2DyPAY6Kk,Media/Video,en,https://images-staging.opened.com/pictures/1890962/image20170920-4-1jtv69n.jpg?1505872788,0-12,"{""flesch-kincaid"":null,""lexile"":null}","",patrickJMT,,317.0,,{},3.0,0.0,"{""title"":""https://www.opened.io/resources/1890962"",""launch_url"":""https://www.opened.io/resources/1890962"",""description"":"""",""extension"":"""",""secure_launch_url"":"""",""icon"":"""",""secure_icon"":"""",""vendor"":{""code"":""NULL"",""name"":""OpenEd""},""cartridge_icon"":{""name"":""NULL"",""resourceUri"":""NULL""},""cartridge_bundle"":{""name"":""NULL"",""resourceUri"":""NULL""}}",[],[],"[""fullMouseControl""]",[],[],"[""auditory"",""color"",""textOnImage"",""visual""]","[""TEKS.Math.K-1.PFL.9"",""TEKS.Math.2.GM.9"",""TEKS.Math.3.PFL.9"",""TEKS.Math.4.DA.9"",""TEKS.Math.5.DA.9"",""TEKS.Math.2.DA.10"",""TEKS.Math.4-5.PFL.10"",""TEKS.Math.6.EER.9"",""TEKS.Math.7.EER.9"",""TEKS.Math.8.EER.9"",""TEKS.Math.6.EER.10"",""TEKS.Math.7.EER.10"",""TEKS.Math.8.TS.10"",""TEKS.Math.MMWA.MMSS.9"",""TEKS.Math.MMWA.MMSS.10"",""TEKS.ELA.K.CIT.9"",""TEKS.ELA.1.CL.9"",""TEKS.ELA.2.CL.9"",""TEKS.ELA.3.CL.9"",""TEKS.ELA.4.IR.9"",""TEKS.ELA.5.IR.9"",""TEKS.ELA.K.CIT.10"",""TEKS.ELA.1.CL.10"",""TEKS.ELA.2.CL.10"",""TEKS.ELA.3.CL.10"",""TEKS.ELA.4.CIT.10"",""TEKS.ELA.5.CIT.10"",""TEKS.ELA.6.CIT.9"",""TEKS.ELA.7.CIT.9"",""TEKS.ELA.8.CIT.9"",""TEKS.ELA.6.CIT.10"",""TEKS.ELA.7.CIT.10"",""TEKS.ELA.8.CIT.10"",""TEKS.ELA.E1.CIT.9"",""TEKS.ELA.E1.CIT.10"",""TEKS.ELA.E2.CIT.9"",""TEKS.ELA.E2.CIT.10"",""TEKS.ELA.E3.CIT.9"",""TEKS.ELA.E3.CIT.10"",""TEKS.ELA.E4.CIT.9"",""TEKS.ELA.E4.CIT.10"",""TEKS.ELA.R.RR.9"",""TEKS.ELA.R.IK.10"",""TEKS.ELA.D.D.9"",""TEKS.ELA.D.E.10""]",[]
AP / AB Calculus Test - Sample Questions 7 & 8,,https://www.youtube.com/embed/Gn9l2GlTDQU,Media/Video,en,https://images-staging.opened.com/pictures/1890963/image20180228-4-1wpgnw6.jpg?1519816222,0-12,"{""flesch-kincaid"":null,""lexile"":null}","",patrickJMT,,441.0,,{},3.0,0.0,"{""title"":""https://www.opened.io/resources/1890963"",""launch_url"":""https://www.opened.io/resources/1890963"",""description"":"""",""extension"":"""",""secure_launch_url"":"""",""icon"":"""",""secure_icon"":"""",""vendor"":{""code"":""NULL"",""name"":""OpenEd""},""cartridge_icon"":{""name"":""NULL"",""resourceUri"":""NULL""},""cartridge_bundle"":{""name"":""NULL"",""resourceUri"":""NULL""}}",[],[],"[""fullMouseControl""]",[],[],"[""auditory"",""color"",""textOnImage"",""visual""]","[""TEKS.Math.K.GM.7"",""TEKS.Math.1.GM.7"",""TEKS.Math.2.AR.7"",""TEKS.Math.3.GM.7"",""TEKS.Math.4.GM.7"",""TEKS.Math.5.GM.7"",""TEKS.Math.K.DA.8"",""TEKS.Math.1.DA.8"",""TEKS.Math.2.GM.8"",""TEKS.Math.3.DA.8"",""TEKS.Math.4.GM.8"",""TEKS.Math.5.GM.8"",""TEKS.Math.6.EER.7"",""TEKS.Math.7.EER.7"",""TEKS.Math.8.EER.7"",""TEKS.Math.6.EER.8"",""TEKS.Math.7.EER.8"",""TEKS.Math.8.EER.8"",""TEKS.Math.MMWA.MMFA.7"",""TEKS.Math.MMWA.MMSS.8"",""TEKS.ELA.K.CL.7"",""TEKS.ELA.1.CL.7"",""TEKS.ELA.2.CL.7"",""TEKS.ELA.3.CL.7"",""TEKS.ELA.4.CL.7"",""TEKS.ELA.5.CL.7"",""TEKS.ELA.K.CL.8"",""TEKS.ELA.3.CL.8"",""TEKS.ELA.1.CL.8"",""TEKS.ELA.2.CL.8"",""TEKS.ELA.4.CL.8"",""TEKS.ELA.5.CL.8"",""TEKS.ELA.6.CL.7"",""TEKS.ELA.7.CL.7"",""TEKS.ELA.8.CLT.7"",""TEKS.ELA.6.CL.8"",""TEKS.ELA.7.CL.8"",""TEKS.ELA.8.CLT.8"",""TEKS.ELA.E1.CL.7"",""TEKS.ELA.E1.CIT.8"",""TEKS.ELA.E2.CL.7"",""TEKS.ELA.E2.CIT.8"",""TEKS.ELA.E3.CL.7"",""TEKS.ELA.E3.CIT.8"",""TEKS.ELA.E4.CL.7"",""TEKS.ELA.E4.CIT.8"",""TEKS.ELA.R.FU.7"",""TEKS.ELA.R.FSR.8"",""TEKS.ELA.PS.D.7"",""TEKS.ELA.PS.E.8"",""TEKS.ELA.OI.RP.7"",""TEKS.ELA.OI.E.8"",""TEKS.ELA.D.CC.7"",""TEKS.ELA.D.R.8"",""317aa844-12a7-11e8-bce9-0242ac120005""]","[""Mathematics""]"
AP / AB Calculus Test - Sample Questions 5 & 6,,https://www.youtube.com/embed/KRKVL72al28,Media/Video,en,https://images-staging.opened.com/pictures/1890964/image20170920-4-82d5se.jpg?1505872889,0-12,"{""flesch-kincaid"":null,""lexile"":null}","",patrickJMT,,452.0,,{},3.0,0.0,"{""title"":""https://www.opened.io/resources/1890964"",""launch_url"":""https://www.opened.io/resources/1890964"",""description"":"""",""extension"":"""",""secure_launch_url"":"""",""icon"":"""",""secure_icon"":"""",""vendor"":{""code"":""NULL"",""name"":""OpenEd""},""cartridge_icon"":{""name"":""NULL"",""resourceUri"":""NULL""},""cartridge_bundle"":{""name"":""NULL"",""resourceUri"":""NULL""}}",[],[],"[""fullMouseControl""]",[],[],"[""auditory"",""color"",""textOnImage"",""visual""]","[""TEKS.Math.K.AR.5"",""TEKS.Math.1.AR.5"",""TEKS.Math.2.NO.5"",""TEKS.Math.3.AR.5"",""TEKS.Math.4.AR.5"",""TEKS.Math.5.GM.5"",""TEKS.Math.K-1.GM.6"",""TEKS.Math.2.NO.6"",""TEKS.Math.3.GM.6"",""TEKS.Math.4.GM.6"",""TEKS.Math.5.GM.6"",""TEKS.Math.6.P.5"",""TEKS.Math.7.P.5"",""TEKS.Math.8.P.5"",""TEKS.Math.6.EER.6"",""TEKS.Math.7.P.6"",""TEKS.Math.8.EER.6"",""TEKS.Math.P.AR.5"",""TEKS.Math.MMWA.MMSE.5"",""TEKS.Math.MMWA.MMSE.6"",""TEKS.ELA.K.RV.5"",""TEKS.ELA.1.RF.5"",""TEKS.ELA.2.RV.5"",""TEKS.ELA.3.CL.5"",""TEKS.ELA.4.CL.5"",""TEKS.ELA.5.CL.5"",""TEKS.ELA.K.CL.6"",""TEKS.ELA.2.CL.6"",""TEKS.ELA.1.RV.6"",""TEKS.ELA.3.CL.6"",""TEKS.ELA.4.CL.6"",""TEKS.ELA.5.CL.6"",""TEKS.ELA.6.CL.5"",""TEKS.ELA.7.CL.5"",""TEKS.ELA.8.CLT.5"",""TEKS.ELA.6.CL.6"",""TEKS.ELA.7.CL.6"",""TEKS.ELA.8.CLT.6"",""TEKS.ELA.E1.CL.5"",""TEKS.ELA.E1.CL.6"",""TEKS.ELA.E2.CL.5"",""TEKS.ELA.E2.CL.6"",""TEKS.ELA.E3.CL.5"",""TEKS.ELA.E3.CL.6"",""TEKS.ELA.E4.CL.5"",""TEKS.ELA.E4.CL.6"",""TEKS.ELA.R.CI.5"",""TEKS.ELA.R.RC.6"",""TEKS.ELA.CRSS.SS.5"",""TEKS.ELA.CRSS.SR.6"",""TEKS.ELA.CM.VAM.5"",""TEKS.ELA.LG.WTL.5"",""TEKS.ELA.RTW.EW.5"",""TEKS.ELA.PWS.AIT.5"",""TEKS.ELA.PWS.UV.6"",""TEKS.ELA.H.AC.5"",""TEKS.ELA.PS.PA.5"",""TEKS.ELA.PS.S.6"",""TEKS.ELA.OI.A.5"",""TEKS.ELA.OI.OI.6"",""TEKS.ELA.D.L.5"",""TEKS.ELA.D.UP.6"",""TEKS.ELA.ISS.E.5"",""TEKS.ELA.J.EP.5"",""TEKS.ELA.AJYNLM.TA.5""]",[]
AP / AB Calculus Test - Sample Questions 3 & 4,,https://www.youtube.com/embed/cIYbBm3SWqE,Media/Video,en,https://images-staging.opened.com/pictures/1890965/image20170920-4-a4t1eo.jpg?1505872932,0-12,"{""flesch-kincaid"":null,""lexile"":null}","",patrickJMT,,404.0,,{},3.0,0.0,"{""title"":""https://www.opened.io/resources/1890965"",""launch_url"":""https://www.opened.io/resources/1890965"",""description"":"""",""extension"":"""",""secure_launch_url"":"""",""icon"":"""",""secure_icon"":"""",""vendor"":{""code"":""NULL"",""name"":""OpenEd""},""cartridge_icon"":{""name"":""NULL"",""resourceUri"":""NULL""},""cartridge_bundle"":{""name"":""NULL"",""resourceUri"":""NULL""}}",[],[],"[""fullMouseControl""]",[],[],"[""auditory"",""color"",""textOnImage"",""visual""]","[""TEKS.Math.K.NO.3"",""TEKS.Math.1.NO.3"",""TEKS.Math.2.NO.3"",""TEKS.Math.3.NO.3"",""TEKS.Math.4.NO.3"",""TEKS.Math.5.NO.3"",""TEKS.Math.K.NO.4"",""TEKS.Math.1.NO.4"",""TEKS.Math.2.NO.4"",""TEKS.Math.3.NO.4"",""TEKS.Math.4.NO.4"",""TEKS.Math.5.AR.4"",""TEKS.Math.6.NO.3"",""TEKS.Math.7.NO.3"",""TEKS.Math.8.P.3"",""TEKS.Math.6.P.4"",""TEKS.Math.7.P.4"",""TEKS.Math.8.P.4"",""TEKS.Math.P.RGR.3"",""TEKS.Math.P.NM.4"",""TEKS.Math.MMWA.MMPF.3"",""TEKS.Math.MMWA.MMPF.4"",""TEKS.ELA.K.RS.3"",""TEKS.ELA.1.RS.3"",""TEKS.ELA.2.SR.3"",""TEKS.ELA.3.RF.3"",""TEKS.ELA.4.CL.3"",""TEKS.ELA.5.CL.3"",""TEKS.ELA.K.SR.4"",""TEKS.ELA.1.SR.4"",""TEKS.ELA.2.RF.4"",""TEKS.ELA.3.RV.4"",""TEKS.ELA.4.CL.4"",""TEKS.ELA.5.CL.4"",""TEKS.ELA.6.CL.3"",""TEKS.ELA.7.CL.3"",""TEKS.ELA.8.CLT.3"",""TEKS.ELA.6.CL.4"",""TEKS.ELA.7.CL.4"",""TEKS.ELA.8.CLT.4"",""TEKS.ELA.E1.CL.3"",""TEKS.ELA.E1.CL.4"",""TEKS.ELA.E2.CL.3"",""TEKS.ELA.E2.CL.4"",""TEKS.ELA.E3.CL.3"",""TEKS.ELA.E3.CL.4"",""TEKS.ELA.E4.CL.3"",""TEKS.ELA.E4.CL.4"",""TEKS.ELA.R.RVP.3"",""TEKS.ELA.R.CT.4"",""TEKS.ELA.CRSS.CT.3"",""TEKS.ELA.CRSS.RC.4"",""TEKS.ELA.VMAP.PVR.3"",""TEKS.ELA.CM.IA.3"",""TEKS.ELA.CM.IM.4"",""TEKS.ELA.LG.RC.3"",""TEKS.ELA.LG.IK.4"",""TEKS.ELA.CW.UM.3"",""TEKS.ELA.CW.OWWO.4"",""TEKS.ELA.RTW.WI.3"",""TEKS.ELA.RTW.UM.4"",""TEKS.ELA.PWS.RVA.3"",""TEKS.ELA.PWS.EW.4"",""TEKS.ELA.H.LR.3"",""TEKS.ELA.H.IC.4"",""TEKS.ELA.PS.I.3"",""TEKS.ELA.PS.O.4"",""TEKS.ELA.CA.C.3"",""TEKS.ELA.CA.P.4"",""TEKS.ELA.OI.RR.3"",""TEKS.ELA.OI.A.4"",""TEKS.ELA.D.PV.3"",""TEKS.ELA.D.PP.4"",""TEKS.ELA.ISS.P.3"",""TEKS.ELA.ISS.PF.4"",""TEKS.ELA.J.RA.3"",""TEKS.ELA.J.PPTD.4"",""TEKS.ELA.ABJ.NI.3"",""TEKS.ELA.ABJ.LT.4"",""TEKS.ELA.P.P.3"",""TEKS.ELA.AJYNLM.PC.3"",""TEKS.ELA.AJYNLM.PP.4""]",[]
AP / AB Calculus Test - Sample Questions 1 & 2,,https://www.youtube.com/embed/fa_t1Soe0y0,Media/Video,en,https://images-staging.opened.com/pictures/1890966/image20170920-4-1h41yuh.jpg?1505872973,0-12,"{""flesch-kincaid"":null,""lexile"":null}","",patrickJMT,,268.0,,{},3.0,0.0,"{""title"":""https://www.opened.io/resources/1890966"",""launch_url"":""https://www.opened.io/resources/1890966"",""description"":"""",""extension"":"""",""secure_launch_url"":"""",""icon"":"""",""secure_icon"":"""",""vendor"":{""code"":""NULL"",""name"":""OpenEd""},""cartridge_icon"":{""name"":""NULL"",""resourceUri"":""NULL""},""cartridge_bundle"":{""name"":""NULL"",""resourceUri"":""NULL""}}",[],[],"[""fullMouseControl""]",[],[],"[""auditory"",""color"",""textOnImage"",""visual""]","[""TEKS.Math.K-5.MPS.1"",""TEKS.Math.K.NO.2"",""TEKS.Math.1.NO.2"",""TEKS.Math.2.NO.2"",""TEKS.Math.3.NO.2"",""TEKS.Math.4.NO.2"",""TEKS.Math.5.NO.2"",""TEKS.Math.6-8.MPS.1"",""TEKS.Math.6.NO.2"",""TEKS.Math.7.NO.2"",""TEKS.Math.8.NO.2"",""TEKS.Math.P.MPS.1"",""TEKS.Math.P.F.2"",""TEKS.Math.MMWA.MPS.1"",""TEKS.Math.MMWA.MMPF.2"",""TEKS.Math.ISM.MPS.1"",""TEKS.ELA.K.RS.1"",""TEKS.ELA.1.RS.1"",""TEKS.ELA.K-1.RS.1"",""TEKS.ELA.2.RS.1"",""TEKS.ELA.3.RS.1"",""TEKS.ELA.4-5.RF.1"",""TEKS.ELA.K.RS.2"",""TEKS.ELA.1.RS.2"",""TEKS.ELA.2.RS.2"",""TEKS.ELA.3.SR.2"",""TEKS.ELA.4-5.RV.2"",""TEKS.ELA.4.RV.2"",""TEKS.ELA.5.RV.2"",""TEKS.ELA.6-8.RF.1"",""TEKS.ELA.6-8.RV.2"",""TEKS.ELA.6.RV.2"",""TEKS.ELA.7.RV.2"",""TEKS.ELA.8.RV.2"",""TEKS.ELA.E1.RV.1"",""TEKS.ELA.E1.CL.2"",""TEKS.ELA.E2.RV.1"",""TEKS.ELA.E2.CL.2"",""TEKS.ELA.E3.RV.1"",""TEKS.ELA.E3.CL.2"",""TEKS.ELA.E4.RV.1"",""TEKS.ELA.E4.CL.2"",""TEKS.ELA.ISE.ITR.1"",""TEKS.ELA.ISE.WTVR.2"",""TEKS.ELA.R.WR.1"",""TEKS.ELA.R.EV.2"",""TEKS.ELA.CRSS.RW.1"",""TEKS.ELA.CRSS.EV.2"",""TEKS.ELA.VMAP.RIVR.1"",""TEKS.ELA.VMAP.AC.2"",""TEKS.ELA.CM.HE.1"",""TEKS.ELA.CM.TF.2"",""TEKS.ELA.LG.EV.1"",""TEKS.ELA.LG.AFP.2"",""TEKS.ELA.CW.VA.1"",""TEKS.ELA.CW.RW.2"",""TEKS.ELA.RTW.WVPA.1"",""TEKS.ELA.RTW.RW.2"",""TEKS.ELA.PWS.CM.1"",""TEKS.ELA.PWS.RW.2"",""TEKS.ELA.H.LAF.1"",""TEKS.ELA.H.SR.2"",""TEKS.ELA.PS.PSR.1"",""TEKS.ELA.PS.SF.2"",""TEKS.ELA.CA.CP.1"",""TEKS.ELA.CA.I.2"",""TEKS.ELA.OI.DT.1"",""TEKS.ELA.OI.S.2"",""TEKS.ELA.D.RS.1"",""TEKS.ELA.D.AI.2"",""TEKS.ELA.ISS.P.1"",""TEKS.ELA.ISS.R.2"",""TEKS.ELA.J.MD.1"",""TEKS.ELA.J.UM.2"",""TEKS.ELA.ISJ.JS.1"",""TEKS.ELA.ISJ.VR.2"",""TEKS.ELA.ABJ.UBM.1"",""TEKS.ELA.ABJ.BP.2"",""TEKS.ELA.P.IC.1"",""TEKS.ELA.P.VR.2"",""TEKS.ELA.AJYNLM.SR.1"",""TEKS.ELA.AJYNLM.JE.2""]",[]
Solving Quadratic Inequalities - More Examples,,https://www.youtube.com/embed/on8YlJ9aDTk,Media/Video,en,https://images-staging.opened.com/pictures/1890967/image20170920-4-jjgbnf.jpg?1505873342,,"{""flesch-kincaid"":null,""lexile"":null}","",patrickJMT,,782.0,,{},3.0,0.0,"{""title"":""https://www.opened.io/resources/1890967"",""launch_url"":""https://www.opened.io/resources/1890967"",""description"":"""",""extension"":"""",""secure_launch_url"":"""",""icon"":"""",""secure_icon"":"""",""vendor"":{""code"":""NULL"",""name"":""OpenEd""},""cartridge_icon"":{""name"":""NULL"",""resourceUri"":""NULL""},""cartridge_bundle"":{""name"":""NULL"",""resourceUri"":""NULL""}}",[],[],"[""fullMouseControl""]",[],[],"[""auditory"",""color"",""textOnImage"",""visual""]",[],[]
Solving Linear Equations,,https://www.youtube.com/embed/ldYGiXSHa_Q,Media/Video,en,https://images-staging.opened.com/pictures/1890968/image20170920-4-1b0c6tp.jpg?1505873510,2-2,"{""flesch-kincaid"":null,""lexile"":null}","",patrickJMT,,780.0,,{},3.0,0.0,"{""title"":""https://www.opened.io/resources/1890968"",""launch_url"":""https://www.opened.io/resources/1890968"",""description"":"""",""extension"":"""",""secure_launch_url"":"""",""icon"":"""",""secure_icon"":"""",""vendor"":{""code"":""NULL"",""name"":""OpenEd""},""cartridge_icon"":{""name"":""NULL"",""resourceUri"":""NULL""},""cartridge_bundle"":{""name"":""NULL"",""resourceUri"":""NULL""}}",[],[],"[""fullMouseControl""]",[],[],"[""auditory"",""color"",""textOnImage"",""visual""]","[""31645878-12a7-11e8-9f72-0242ac120005""]",[]
Factoring a Number,,https://www.youtube.com/embed/qhGCw5v6-P0,Media/Video,en,https://images-staging.opened.com/pictures/1890969/image20170920-4-93dfl0.jpg?1505873637,,"{""flesch-kincaid"":null,""lexile"":null}","",patrickJMT,,640.0,,{},3.0,0.0,"{""title"":""https://www.opened.io/resources/1890969"",""launch_url"":""https://www.opened.io/resources/1890969"",""description"":"""",""extension"":"""",""secure_launch_url"":"""",""icon"":"""",""secure_icon"":"""",""vendor"":{""code"":""NULL"",""name"":""OpenEd""},""cartridge_icon"":{""name"":""NULL"",""resourceUri"":""NULL""},""cartridge_bundle"":{""name"":""NULL"",""resourceUri"":""NULL""}}",[],[],"[""fullMouseControl""]",[],[],"[""auditory"",""color"",""textOnImage"",""visual""]",[],[]
